c7b9	794	STA	A: 0	X: ff	Y: 94	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 94	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 93	SP: ff
c7b9	793	STA	A: 0	X: ff	Y: 93	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 93	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 92	SP: ff
c7b9	792	STA	A: 0	X: ff	Y: 92	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 92	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 91	SP: ff
c7b9	791	STA	A: 0	X: ff	Y: 91	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 91	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 90	SP: ff
c7b9	790	STA	A: 0	X: ff	Y: 90	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 90	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 8f	SP: ff
c7b9	78f	STA	A: 0	X: ff	Y: 8f	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 8f	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 8e	SP: ff
c7b9	78e	STA	A: 0	X: ff	Y: 8e	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 8e	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 8d	SP: ff
c7b9	78d	STA	A: 0	X: ff	Y: 8d	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 8d	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 8c	SP: ff
c7b9	78c	STA	A: 0	X: ff	Y: 8c	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 8c	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 8b	SP: ff
c7b9	78b	STA	A: 0	X: ff	Y: 8b	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 8b	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 8a	SP: ff
c7b9	78a	STA	A: 0	X: ff	Y: 8a	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 8a	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 89	SP: ff
c7b9	789	STA	A: 0	X: ff	Y: 89	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 89	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 88	SP: ff
c7b9	788	STA	A: 0	X: ff	Y: 88	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 88	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 87	SP: ff
c7b9	787	STA	A: 0	X: ff	Y: 87	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 87	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 86	SP: ff
c7b9	786	STA	A: 0	X: ff	Y: 86	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 86	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 85	SP: ff
c7b9	785	STA	A: 0	X: ff	Y: 85	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 85	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 84	SP: ff
c7b9	784	STA	A: 0	X: ff	Y: 84	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 84	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 83	SP: ff
c7b9	783	STA	A: 0	X: ff	Y: 83	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 83	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 82	SP: ff
c7b9	782	STA	A: 0	X: ff	Y: 82	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 82	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 81	SP: ff
c7b9	781	STA	A: 0	X: ff	Y: 81	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 81	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 80	SP: ff
c7b9	780	STA	A: 0	X: ff	Y: 80	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 80	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 7f	SP: ff
c7b9	77f	STA	A: 0	X: ff	Y: 7f	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 7f	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 7e	SP: ff
c7b9	77e	STA	A: 0	X: ff	Y: 7e	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 7e	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 7d	SP: ff
c7b9	77d	STA	A: 0	X: ff	Y: 7d	SP: ff
